Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Spongy pedal.,Air in hydraulic system.,A,Excessive stopping distance.,Test Drive for specified condition.,"Brake pedal has a spongy feel. Further inspection shows the master cylinder reservoir is near the ""Full"" mark.",1,Yes,What is the first normal test undertaken to verify a customer complaint?,Bleed brakes.,Air bubbles present at various wheel assemblies.,1,Yes,Have you checked the system for air?,Bleed brakes and inspect for conditions that would admit air to the system. ,"Well done, bleeding the system resolved the issue. Further discussion with the customer reveals that they tried bleeding the brakes at home after replacing a master cylinder. ",1,Yes,Have you checked for air in the system?
,,,,Check for fluid leaks.,No leaks apparent.,2,No,,Measure rotor thickness variation and run-out.,Rotor parallelism and run-out meet specifications.,2,No,,Resurface/replace drums.,This did not rectify the issue.,2,No,
,,,,Perform power booster operation test.,Power booster operates normally.,2,No,,Perform power booster operation test.,Power booster operates normally.,2,No,,Replace power brake booster.,Changing this component did not rectify the issue.,2,No,
,,,,Check master cylinder for internal leaks.,No internal leak identified in master cylinder reservoir.,2,No,,Check master cylinder for internal leaks.,No internal leak identified in master cylinder reservoir.,2,No,,Replace master cylinder.,Changing this component did not rectify the issue.,2,No,
,,,,Raise vehicle on hoist. Check for locking action on each wheel on light pedal application.,Brakes apply normally.,2,No,,Perform visual inspection of drum brake assemblies.,No excessive brake shoe to drum clearance cited. ,2,No,,Resurface/replace rotors.,Carrying out this action did not rectify the issue.,2,No,
,,,,"Turn ignition key to ""run"" position. Apply and release parking brake.",Park brake and brake warning lamp operate normally.,2,No,,Check brake fluid level in reservoir.,Fluid level is okay.,2,No,,Clean/replace self-adjusters and pre-adjust brakes.,Carrying out this action did not rectify the issue.,2,No,
,,,,Visual inspection of fluid level.,"Inspection shows the master cylinder reservoir is between ""min"" and ""max"".",2,No,,Perform visual inspection of disc brake assemblies.,No abnormalities found.,2,No,,Replace grease seals and brake shoes in both rear brake assemblies.,Carrying out this action did not rectify the issue.,2,No,
,,,,,,,,,Check wheel bearing adjustment.,Wheel bearings are adjusted properly.,2,No,,Rebuild/Replace caliper and pads on both front brake assemblies.,Carrying out this action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,"Inspect for leaks/worn pads, if none found top off brake fluid.",Carrying out this action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,"Clean, inspect, repack, and adjust wheel bearings. ",Carrying out this action did not rectify the issue.,2,No,
