Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Unusual noise 2.,A/C pipe rattling against bodywork,A,None,Make a visual inspection with the system running.,Metallic or vibrational noise from engine compartment or bulkhead area.,1,Yes,When does the noise occur?,Perform audible inspection of A/C pipes and hoses.,High pressure A/C pipe rattling against bodywork.,1,Yes,Is the noise coming from a particular component?,Replace or re route pipes and retainers.,Yes by re-routing the pipe work you have rectified the issue.,1,Yes,Is the pipe work vibrating on the body?
,,,,Performance test the A/C system for mechanical operation.,Sufficient cold air from passenger compartment vents.,2,No,,Perform system high side and low side pressure check.,System high side and low side pressures within specifications.,2,No,,Recharge system as required. Check for refrigerant leaks and repair as necessary.,This action did not rectify the condition.,2,No,
,,,,Check cabin mechanical switching devices.,Mechanical devices operating normally.,2,No,,Perform system flow and pressure check.,System flow and  pressures within specifications.,2,No,,"Replace belt and inspect pulleys, tensioners, and driven components. Repair/replace as necessary.",This action did not rectify the condition.,2,No,
,,,,Check the A/C electrical system switching devices.,Switching devices operating normally.,2,No,,Check in cabin mechanical flow control devices for operation.,Devices operating normally.,2,No,,Replace damaged/blocked component(s); evacuate system and recharge with the proper amount of refrigerant.,This action did not rectify the condition.,2,No,
,,,,Check condition of any airflow filter devices.,Sufficient air from passenger compartment vents.,2,No,,Check that A/C compressor clutch engages.,Compressor clutch components are in good condition.,2,No,,Replace faulty motor/cable/linkage.,This action did not rectify the condition.,2,No,
,,,,Check the A/C compressor drive devices.,Compressor drive devices appear to be in good condition.,2,No,,Check for adequate air flow from vents.,Sufficient cold air flowing  from passenger compartment vents.,2,No,,Replace A/C pressure switch/sensor.,This action did not rectify the condition.,2,No,
,,,,Check the main A/C operating components.,No excessive noise coming from system while A/C is operating.,2,No,,Perform visual inspection and listen to compressor with stethoscope.,No abnormal noises coming from compressor.,2,No,,Replace cabin air filter.,This action did not rectify the condition.,2,No,
,,,,Performance test the A/C system for temperature switching.,No excessive noise coming from system while A/C is operating.,2,No,,Perform audible inspection of expansion valve.,Expansion valve operating normally.,2,No,,Replace clutch coil or reset air gap.,This action did not rectify the condition.,2,No,
,,,,,,,,,,,,,,"Flush A/C system, replace compressor, receiver/drier, and refrigerant.",This action did not rectify the condition.,2,No,
,,,,,,,,,,,,,,Replace expansion (TX) valve.,This action did not rectify the condition.,2,No,
