Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Engine Misfire (steady misfire).,Faulty Ignition coil.,A,MIL Light on.,Scan PCM with scan tool.,"P0353 Ignition coil ""C"" Primary/Secondary Circuit Malfunction. Further tests show battery voltage and ground to ignition coil w/KOER.",1,Yes,The MIL light indicates the PCM has identified a problem in the systems it monitors. ,"Perform resistance test of ignition coil ""C"".",Ohmmeter reads Infinite on primary winding of ignition coil. Secondary winding within specifications.,1,Yes,"What test is next when a component has power and ground, yet doesn't operate?",Replace ignition coil.,Well done! You have identified the fault and corrected it.,1,Yes,"When a sealed component is electrically ""open"" what must be done to correct the problem?"
,,,,Calculate fuel economy.,Meets fuel economy standards for this vehicle.,2,No,,Disassemble and inspect.,Component appears to be in good working order.,2,No,,Clean/tighten ground connection(s).,This did not correct the fault. Try again.,2,No,
,,,,Perform compression test.,Compression readings are within specifications.,2,No,,"Perform ""smoke"" test.",No vacuum leaks detected.,2,No,,Repair EVAP system.,This did not correct the fault. Try again.,2,No,
,,,,Perform emission test.,Engine meets emissions standards.,2,No,,Perform engine operating temperature test with infrared temperature gun.,Engine reaches and maintains proper operating temperature in specified time.,2,No,,Repair fuel injector wiring.,This did not correct the fault. Try again.,2,No,
,,,,Perform engine operating temperature test with infrared temp gun.,Meets specifications.,2,No,,Perform fuel pressure and volume test.,Fuel pressure and volume meet specifications when tested. ,2,No,,Repair fuel pump wiring.,This did not correct the fault. Try again.,2,No,
,,,,Perform exhaust back-pressure test.,Back-pressure is within specifications.,2,No,,Perform fuel quality test.,Fuel meets specifications.,2,No,,Replace air filter/restricted intake system.,This did not correct the fault. Try again.,2,No,
,,,,Perform fuel pressure and volume test.,Fuel pressure and volume perform as specified.,2,No,,Perform ignition timing test.,Meets specifications.,2,No,,Replace cam sensor.,This did not correct the fault. Try again.,2,No,
,,,,Perform intake manifold vacuum/pressure test.,Manifold vacuum/pressure meets specifications.,2,No,,Perform Knock sensor test.,Knock sensor responds according to specifications.,2,No,,Replace catalytic converter/exhaust system.,This did not correct the fault. Try again.,2,No,
,,,,Perform NOID light test.,NOID lights indicates normal operation.,2,No,,Test Oxygen sensor waveform on labscope.,Meets specifications.,2,No,,Replace crankshaft position sensor.,This did not correct the fault. Try again.,2,No,
,,,,Start engine and observe temperature gauge.,Temp gauge climbs to normal parameters.  ,2,No,,Test waveform pattern of fuel injector on labscope.,Meets specifications.,2,No,,Replace EGR valve/repair EGR system.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,Perform visual inspection.,Component appears to be in good working order.,2,No,,Replace faulty anti-theft system component.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel filter.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel injector.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump fuse.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump fusible link.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump relay.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition module.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition primary wiring.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition switch.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition system fusible link.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace intake air temperature sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace intake manifold gasket/repair leak. ,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace knock sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace manifold pressure sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace Oxygen sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace spark plug cable.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace spark plug.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace throttle position sensor.,This did not correct the fault. Try again.,2,No,
